dept_no,dept_name,emp_no,last_name,first_name,to_date
d009,Customer Service,12664,Parveen,Zhonghua,1/1/9999
d005,Development,12689,Boudaillier,Luerbio,1/1/9999
d004,Production,12691,Gils,Oddvar,1/1/9999
d003,Human Resources,12697,Brizzi,Uri,1/1/9999
d005,Development,12709,Botman,Ronghao,1/1/9999
d008,Research,12717,Jiafu,Tzu,1/1/9999
d002,Finance,12722,Cheshire,Elliott,1/1/9999
d005,Development,12726,Panwar,Fumitake,1/1/9999
d004,Production,12729,Rahier,Nahla,1/1/9999
d009,Customer Service,12729,Rahier,Nahla,1/1/9999
d003,Human Resources,12731,Waymire,Yongmao,1/1/9999
d007,Sales,12732,Takanami,Mara,1/1/9999
d005,Development,12734,Frijda,Gil,1/1/9999
d003,Human Resources,12755,Rodite,Rildo,1/1/9999
d005,Development,12773,Lovengreen,Jenwei,1/1/9999
d007,Sales,12790,Perl,Gunilla,1/1/9999
d002,Finance,12795,Fordan,Masoud,1/1/9999
d007,Sales,12798,Beeson,Lillian,1/1/9999
d001,Marketing,12803,Boissier,Gad,1/1/9999
d007,Sales,12803,Boissier,Gad,1/1/9999
d008,Research,12815,Junot,Sushant,1/1/9999
d004,Production,12819,Gubsky,Mountaz,1/1/9999
d005,Development,12848,Smeets,Kazuhide,1/1/9999
d004,Production,12863,Matheson,Leif,1/1/9999
d007,Sales,12872,Schmittgen,Marl,1/1/9999
d005,Development,12879,Eugenio,Baruch,1/1/9999
d007,Sales,12890,Casley,Neven,1/1/9999
d007,Sales,12893,Crouzet,Licheng,1/1/9999
d004,Production,12895,Serot,Roddy,1/1/9999
d005,Development,12905,Gecsei,Munehiro,1/1/9999
d008,Research,12926,Luby,Heekeun,1/1/9999
d005,Development,12940,Farrar,Odinaldo,1/1/9999
d005,Development,12941,Perelgut,Tommaso,1/1/9999
d005,Development,12949,Asrin,Geoff,1/1/9999
d005,Development,12977,Markovitch,Byong,1/1/9999
d002,Finance,12983,Hambrick,Elliott,1/1/9999
d001,Marketing,13030,Kroll,Yahiko,1/1/9999
d002,Finance,13046,Stafford,Vivian,1/1/9999
d005,Development,13047,Chelton,Atilio,1/1/9999
d001,Marketing,13075,Morrin,Rosella,1/1/9999
d007,Sales,13075,Morrin,Rosella,1/1/9999
d005,Development,13076,Skafidas,Deniz,1/1/9999
d006,Quality Management,13096,Armand,Ibibia,1/1/9999
d005,Development,13103,Ellozy,Srinidhi,1/1/9999
d007,Sales,13124,Garnick,Quingbo,1/1/9999
d001,Marketing,13133,Senzako,Guther,1/1/9999
d009,Customer Service,13133,Senzako,Guther,1/1/9999
d004,Production,13134,Chepyzhov,Lorien,1/1/9999
d002,Finance,13144,Nollmann,Persi,1/1/9999
d007,Sales,13146,Erie,Haldon,1/1/9999
d007,Sales,13147,Ginesta,Shichao,1/1/9999
d005,Development,13156,Millington,Akeel,1/1/9999
d006,Quality Management,13165,Benner,Lucian,1/1/9999
d004,Production,13168,Stentiford,Munir,1/1/9999
d002,Finance,13170,Bernardeschi,Cheong,1/1/9999
d003,Human Resources,13170,Bernardeschi,Cheong,1/1/9999
d006,Quality Management,13171,Birnbaum,Anoosh,1/1/9999
d007,Sales,13173,Horswill,Arve,1/1/9999
d007,Sales,13179,Janocha,Moty,1/1/9999
d004,Production,13182,Rodite,Kokou,1/1/9999
d007,Sales,13186,Barbanera,Kyoichi,1/1/9999
d004,Production,13192,Flowers,Rosita,1/1/9999
d005,Development,13192,Flowers,Rosita,1/1/9999
d008,Research,13202,Scharstein,Aram,1/1/9999
d001,Marketing,13210,Klassen,Jianhua,1/1/9999
d007,Sales,13210,Klassen,Jianhua,1/1/9999
d007,Sales,13213,Billawala,Hein,1/1/9999
d005,Development,13232,Fujisaki,Mitchel,1/1/9999
d005,Development,13233,Chvatal,Alselm,1/1/9999
d007,Sales,13238,Foote,Ebru,1/1/9999
d005,Development,13240,Pileggi,King,1/1/9999
d004,Production,13250,Schusler,Zeydy,1/1/9999
d009,Customer Service,13272,Jiang,Arun,1/1/9999
d002,Finance,13276,Seuren,Yechiam,1/1/9999
d003,Human Resources,13288,Broomell,Muneo,1/1/9999
d005,Development,13291,Stamatiou,Georg,1/1/9999
d005,Development,13302,Alencar,Mack,1/1/9999
d005,Development,13315,Stroustrup,Sakthirel,1/1/9999
d004,Production,13332,Pearson,Nidapan,1/1/9999
d004,Production,13333,Hennebert,Yoshinari,1/1/9999
d005,Development,13333,Hennebert,Yoshinari,1/1/9999
d001,Marketing,13341,Doering,Bodh,1/1/9999
d002,Finance,13343,Usery,Heon,1/1/9999
d003,Human Resources,13343,Usery,Heon,1/1/9999
d003,Human Resources,13368,Klassen,Kiyokazu,1/1/9999
d004,Production,13371,Riexinger,Nakhoon,1/1/9999
d002,Finance,13373,Naumovich,Juichirou,1/1/9999
d003,Human Resources,13373,Naumovich,Juichirou,1/1/9999
d003,Human Resources,13385,Buchter,Claudi,1/1/9999
d005,Development,13386,Sgarro,Khosrow,1/1/9999
d008,Research,13389,Cmelik,Divine,1/1/9999
d007,Sales,13392,Beidas,Fumitake,1/1/9999
d009,Customer Service,13396,Aumann,Chuanyi,1/1/9999
d005,Development,13402,Dulli,Augustine,1/1/9999
d008,Research,13402,Dulli,Augustine,1/1/9999
d007,Sales,13405,Baba,Randy,1/1/9999
d004,Production,13407,Chenoweth,Gio,1/1/9999
d004,Production,13408,Lagarias,Sreekrishna,1/1/9999
d006,Quality Management,13415,Speer,Nathalie,1/1/9999
d004,Production,13422,Gerlach,Vishwani,1/1/9999
d006,Quality Management,13422,Gerlach,Vishwani,1/1/9999
d003,Human Resources,13442,Miake,Giordano,1/1/9999
d006,Quality Management,13443,Puppo,Mayuko,1/1/9999
d004,Production,13445,Dehkordi,Renee,1/1/9999
d003,Human Resources,13451,Weiland,Gretta,1/1/9999
d006,Quality Management,13457,Parfitt,Shooichi,1/1/9999
d004,Production,13458,Nivat,Feipei,1/1/9999
d009,Customer Service,13458,Nivat,Feipei,1/1/9999
d004,Production,13463,Berstel,Theron,1/1/9999
d004,Production,13465,Rehfuss,Sasan,1/1/9999
d005,Development,13493,Jullig,Uinam,1/1/9999
d005,Development,13504,Mandell,Parto,1/1/9999
d007,Sales,13524,Porotnikoff,Chaoyi,1/1/9999
d004,Production,13535,Schlenzig,Arunas,1/1/9999
d004,Production,13546,Brookner,Aimee,1/1/9999
d005,Development,13549,Koprowski,Matk,1/1/9999
d008,Research,13552,Capobianchi,Ingmar,1/1/9999
d005,Development,13576,Engberts,Jungsoon,1/1/9999
d008,Research,13576,Engberts,Jungsoon,1/1/9999
d007,Sales,13605,Encarnacion,Dmitry,1/1/9999
d005,Development,13621,Haddadi,Fei,1/1/9999
d003,Human Resources,13624,Yurek,Zhigen,1/1/9999
d005,Development,13629,Trelles,Dzung,1/1/9999
d004,Production,13648,Lamba,Zejun,1/1/9999
d003,Human Resources,13653,Iivonen,Kristen,1/1/9999
d005,Development,13670,Takanami,Moti,1/1/9999
d007,Sales,13680,Speer,Denny,1/1/9999
d005,Development,13685,Hockney,Weicheng,1/1/9999
d005,Development,13697,Weedon,Shuichi,1/1/9999
d004,Production,13704,Kumaresan,Vishu,1/1/9999
d007,Sales,13721,Delgrossi,Sugwoo,1/1/9999
d003,Human Resources,13727,Merey,Vitali,1/1/9999
d005,Development,13738,Mitchem,Bangqing,1/1/9999
d009,Customer Service,13766,Heemskerk,Tremaine,1/1/9999
d007,Sales,13769,Trogemann,Yakichi,1/1/9999
d007,Sales,13775,Maierhofer,Arve,1/1/9999
d007,Sales,13786,Berendt,Takushi,1/1/9999
d004,Production,13787,Sinicrope,Xiaobin,1/1/9999
d002,Finance,13792,Sury,Valery,1/1/9999
d005,Development,13796,Thorelli,Paloma,1/1/9999
d009,Customer Service,13809,Basagni,Kiyotoshi,1/1/9999
d004,Production,13815,Plotkin,Guadalupe,1/1/9999
d004,Production,13825,Pell,Arlette,1/1/9999
d004,Production,13841,Spinelli,Christophe,1/1/9999
d006,Quality Management,13841,Spinelli,Christophe,1/1/9999
d008,Research,13842,Cichocki,Juichirou,1/1/9999
d008,Research,13846,Welham,Guiseppe,1/1/9999
d008,Research,13853,Roohalamini,Mingsen,1/1/9999
d005,Development,13859,Fujisawa,Anoosh,1/1/9999
d004,Production,13884,Swift,Kensei,1/1/9999
d004,Production,13894,Schonegge,Ult,1/1/9999
d005,Development,13904,Cairo,Youngkon,1/1/9999
d005,Development,13934,Bratsberg,Shiv,1/1/9999
d005,Development,13942,Esteva,Elzbieta,1/1/9999
d007,Sales,13951,Genther,Mooi,1/1/9999
d002,Finance,13960,Hettesheimer,Nechama,1/1/9999
d004,Production,13962,Ghelli,Maris,1/1/9999
d009,Customer Service,13966,Cooman,Boguslaw,1/1/9999
d005,Development,13969,Chandrasekhar,Jianwen,1/1/9999
d005,Development,13990,Schapiro,Deborah,1/1/9999
d002,Finance,13992,Kenevan,Ulises,1/1/9999
d003,Human Resources,13999,Crouzet,Florian,1/1/9999
d005,Development,14005,Stellhorn,Vojin,1/1/9999
d006,Quality Management,14005,Stellhorn,Vojin,1/1/9999
d004,Production,14015,Picaronny,Manibrata,1/1/9999
d006,Quality Management,14015,Picaronny,Manibrata,1/1/9999
d002,Finance,14034,Seghrouchni,Aloys,1/1/9999
d001,Marketing,14041,DeMori,Shan,1/1/9999
d004,Production,14067,Trachtenberg,Godehard,1/1/9999
d008,Research,14088,Leslie,Mori,1/1/9999
d001,Marketing,14107,Rindone,Xiahua,1/1/9999
d009,Customer Service,14111,Cummings,Leszek,1/1/9999
d009,Customer Service,14118,Anido,Kasturi,1/1/9999
d004,Production,14167,Hertweck,Adas,1/1/9999
d005,Development,14191,Luby,Jiann,1/1/9999
d008,Research,14209,Kusakabe,Masanao,1/1/9999
d004,Production,14220,Pargas,Tomofumi,1/1/9999
d005,Development,14232,Bojadziev,Masali,1/1/9999
d008,Research,14236,Angiulli,Xuedong,1/1/9999
d004,Production,14237,Gerlach,Abdulla,1/1/9999
d009,Customer Service,14237,Gerlach,Abdulla,1/1/9999
d009,Customer Service,14242,Benaini,Sudhanshu,1/1/9999
d004,Production,14257,Massonet,Kwok,1/1/9999
d009,Customer Service,14257,Massonet,Kwok,1/1/9999
d004,Production,14290,Olivero,Miyeon,1/1/9999
d008,Research,14292,Vigier,Susanna,1/1/9999
d004,Production,14298,Granlund,Chriss,1/1/9999
d007,Sales,14310,Leuchs,Marlo,1/1/9999
d004,Production,14320,Schaar,Sreenivas,1/1/9999
d005,Development,14322,Kakkad,Shem,1/1/9999
d004,Production,14323,Leslie,Golgen,1/1/9999
d009,Customer Service,14323,Leslie,Golgen,1/1/9999
d004,Production,14340,Wixon,Vitaly,1/1/9999
d004,Production,14344,Buescher,Otilia,1/1/9999
d007,Sales,14354,Bojadziev,Mong,1/1/9999
d008,Research,14360,Erbe,Janche,1/1/9999
d005,Development,14372,Srimani,Saniya,1/1/9999
d008,Research,14372,Srimani,Saniya,1/1/9999
